citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
87 FR 7363, 2022-02869,7366,https://www.federalregister.gov/documents/2022/02/09/2022-02869/use-of-project-labor-agreements-for-federal-construction-projects,https://www.govinfo.gov/content/pkg/FR-2022-02-09/pdf/2022-02869.pdf,Presidential Document,Executive Order,02/09/2022,2022-02-04,7363,Use of Project Labor Agreements for Federal Construction Projects,"Revokes: EO 13502, February 6, 2009",14063
76 FR 44757, 2011-19156,44759,https://www.federalregister.gov/documents/2011/07/27/2011-19156/blocking-property-of-transnational-criminal-organizations,https://www.govinfo.gov/content/pkg/FR-2011-07-27/pdf/2011-19156.pdf,Presidential Document,Executive Order,07/27/2011,2011-07-24,44757,Blocking Property of Transnational Criminal Organizations,"See: Notice of July 21, 2025",13581
84 FR 10255, 2019-05370,10256,https://www.federalregister.gov/documents/2019/03/19/2019-05370/taking-additional-steps-to-address-the-national-emergency-with-respect-to-significant-transnational,https://www.govinfo.gov/content/pkg/FR-2019-03-19/pdf/2019-05370.pdf,Presidential Document,Executive Order,03/19/2019,2019-03-15,10255,Taking Additional Steps to Address the National Emergency With Respect to Significant Transnational Criminal Organizations,"Amends: EO 13581, July 24, 2011
See: Notice of July 21, 2025",13863
78 FR 16129, 2013-05967,16132,https://www.federalregister.gov/documents/2013/03/13/2013-05967/administration-of-reformed-export-controls,https://www.govinfo.gov/content/pkg/FR-2013-03-13/pdf/2013-05967.pdf,Presidential Document,Executive Order,03/13/2013,2013-03-08,16129,Administration of Reformed Export Controls,"See: Notice of August 4, 2025",13637
83 FR 8923, 2018-04414,8925,https://www.federalregister.gov/documents/2018/03/02/2018-04414/presidents-council-on-sports-fitness-and-nutrition,https://www.govinfo.gov/content/pkg/FR-2018-03-02/pdf/2018-04414.pdf,Presidential Document,Executive Order,03/02/2018,2018-02-26,8923,"President's Council on Sports, Fitness, and Nutrition","Revokes: EO 13545, June 22, 2010
Amends: EO 13265, June 6, 2002
Revoked by: EO 14327, July 31, 2025",13824
86 FR 3733, 2021-01094,3734,https://www.federalregister.gov/documents/2021/01/15/2021-01094/providing-an-order-of-succession-within-the-environmental-protection-agency,https://www.govinfo.gov/content/pkg/FR-2021-01-15/pdf/2021-01094.pdf,Presidential Document,Executive Order,01/15/2021,2021-01-08,3733,Providing an Order of Succession Within the Environmental Protection Agency,"Revokes: EO 13763, January 13, 2017",13973
86 FR 4875, 2021-01228,4876,https://www.federalregister.gov/documents/2021/01/19/2021-01228/amending-executive-order-13959addressing-the-threat-from-securities-investments-that-finance,https://www.govinfo.gov/content/pkg/FR-2021-01-19/pdf/2021-01228.pdf,Presidential Document,Executive Order,01/19/2021,2021-01-13,4875,Amending Executive Order 13959Addressing the Threat From Securities Investments That Finance Communist Chinese Military Companies,"Amends: EO 13959, November 12, 2020 
Revoked by: EO 14032, June 3, 2021",13974
85 FR 34079, 2020-12030,34083,https://www.federalregister.gov/documents/2020/06/02/2020-12030/preventing-online-censorship,https://www.govinfo.gov/content/pkg/FR-2020-06-02/pdf/2020-12030.pdf,Presidential Document,Executive Order,06/02/2020,2020-05-28,34079,Preventing Online Censorship,"Revoked by: EO 14029, May 14, 2021",13925
85 FR 47881, 2020-17364,47883,https://www.federalregister.gov/documents/2020/08/06/2020-17364/improving-rural-health-and-telehealth-access,https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17364.pdf,Presidential Document,Executive Order,08/06/2020,2020-08-03,47881,Improving Rural Health and Telehealth Access,"",13941
85 FR 26315, 2020-09537,26316,https://www.federalregister.gov/documents/2020/05/01/2020-09537/establishment-of-the-interagency-labor-committee-for-monitoring-and-enforcement-under-section-711-of,https://www.govinfo.gov/content/pkg/FR-2020-05-01/pdf/2020-09537.pdf,Presidential Document,Executive Order,05/01/2020,2020-04-28,26315,Establishment of the Interagency Labor Committee for Monitoring and Enforcement Under Section 711 of the United States-Mexico-Canada Agreement Implementation Act,"",13918
85 FR 52879, 2020-19032,52880,https://www.federalregister.gov/documents/2020/08/27/2020-19032/targeting-opportunity-zones-and-other-distressed-communities-for-federal-site-locations,https://www.govinfo.gov/content/pkg/FR-2020-08-27/pdf/2020-19032.pdf,Presidential Document,Executive Order,08/27/2020,2020-08-24,52879,Targeting Opportunity Zones and Other Distressed Communities for Federal Site Locations,"Amends: EO 12072, August 16, 1978; EO 13006, May 21, 1996
Revoked by: EO 14091, February 16, 2023",13946
85 FR 59649, 2020-21129,59650,https://www.federalregister.gov/documents/2020/09/23/2020-21129/lowering-drug-prices-by-putting-america-first,https://www.govinfo.gov/content/pkg/FR-2020-09-23/pdf/2020-21129.pdf,Presidential Document,Executive Order,09/23/2020,2020-09-13,59649,Lowering Drug Prices by Putting America First,"Revokes: EO 13947, July 24, 2020",13948
83 FR 35099, 2018-15955,35103,https://www.federalregister.gov/documents/2018/07/24/2018-15955/establishing-the-presidents-national-council-for-the-american-worker,https://www.govinfo.gov/content/pkg/FR-2018-07-24/pdf/2018-15955.pdf,Presidential Document,Executive Order,07/24/2018,2018-07-19,35099,Establishing the President's National Council for the American Worker,"See: EO 13801, June 15, 2017; Revoked by: EO 14025 of April 26, 2021",13845
83 FR 33115, 2018-15299,33117,https://www.federalregister.gov/documents/2018/07/16/2018-15299/establishment-of-the-task-force-on-market-integrity-and-consumer-fraud,https://www.govinfo.gov/content/pkg/FR-2018-07-16/pdf/2018-15299.pdf,Presidential Document,Executive Order,07/16/2018,2018-07-11,33115,Establishment of the Task Force on Market Integrity and Consumer Fraud,"Revokes: EO 13519, November 17, 2009",13844
81 FR 29465, 2016-11300,29467,https://www.federalregister.gov/documents/2016/05/11/2016-11300/facilitation-of-a-presidential-transition,https://www.govinfo.gov/content/pkg/FR-2016-05-11/pdf/2016-11300.pdf,Presidential Document,Executive Order,05/11/2016,2016-05-06,29465,Facilitation of a Presidential Transition,"See: Memorandum of July 11, 2001",13727
80 FR 4191, 2015-01522,4194,https://www.federalregister.gov/documents/2015/01/26/2015-01522/enhancing-coordination-of-national-efforts-in-the-arctic,https://www.govinfo.gov/content/pkg/FR-2015-01-26/pdf/2015-01522.pdf,Presidential Document,Executive Order,01/26/2015,2015-01-21,4191,Enhancing Coordination of National Efforts in the Arctic,"",13689
83 FR 969, 2018-00240,969,https://www.federalregister.gov/documents/2018/01/08/2018-00240/termination-of-presidential-advisory-commission-on-election-integrity,https://www.govinfo.gov/content/pkg/FR-2018-01-08/pdf/2018-00240.pdf,Presidential Document,Executive Order,01/08/2018,2018-01-03,969,Termination of Presidential Advisory Commission on Election Integrity,"Revokes: EO 13799, May 11, 2017",13820
83 FR 65481, 2018-27945,65482,https://www.federalregister.gov/documents/2018/12/21/2018-27945/providing-for-the-closing-of-executive-departments-and-agencies-of-the-federal-government-on,https://www.govinfo.gov/content/pkg/FR-2018-12-21/pdf/2018-27945.pdf,Presidential Document,Executive Order,12/21/2018,2018-12-18,65481,"Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2018","See: EO 11582, February 11, 1971",13854
80 FR 50751, 2015-20801,50753,https://www.federalregister.gov/documents/2015/08/20/2015-20801/presidential-innovation-fellows-program,https://www.govinfo.gov/content/pkg/FR-2015-08-20/pdf/2015-20801.pdf,Presidential Document,Executive Order,08/20/2015,2015-08-17,50751,Presidential Innovation Fellows Program,"",13704
80 FR 54405, 2015-22888,54406,https://www.federalregister.gov/documents/2015/09/09/2015-22888/designating-the-international-renewable-energy-agency-as-a-public-international-organization,https://www.govinfo.gov/content/pkg/FR-2015-09-09/pdf/2015-22888.pdf,Presidential Document,Executive Order,09/09/2015,2015-09-03,54405,"Designating the International Renewable Energy Agency as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","",13705
86 FR 50985, 2021-19924,50988,https://www.federalregister.gov/documents/2021/09/14/2021-19924/ensuring-adequate-covid-safety-protocols-for-federal-contractors,https://www.govinfo.gov/content/pkg/FR-2021-09-14/pdf/2021-19924.pdf,Presidential Document,Executive Order,09/14/2021,2021-09-09,50985,Ensuring Adequate COVID Safety Protocols for Federal Contractors,"Revoked by: EO 14099, May 9, 2023; EO 14174, January 21, 2025",14042
87 FR 52847, 2022-18840,52849,https://www.federalregister.gov/documents/2022/08/30/2022-18840/implementation-of-the-chips-act-of-2022,https://www.govinfo.gov/content/pkg/FR-2022-08-30/pdf/2022-18840.pdf,Presidential Document,Executive Order,08/30/2022,2022-08-25,52847,Implementation of the CHIPS Act of 2022,"See: EO 14126, September 6, 2024",14080
86 FR 52591, 2021-20629,52592,https://www.federalregister.gov/documents/2021/09/22/2021-20629/adding-measles-to-the-list-of-quarantinable-communicable-diseases,https://www.govinfo.gov/content/pkg/FR-2021-09-22/pdf/2021-20629.pdf,Presidential Document,Executive Order,09/22/2021,2021-09-17,52591,Adding Measles to the List of Quarantinable Communicable Diseases,"Amends: EO 13295, April 4, 2003 
See: EO 13375, April 1, 2005; EO 13674, July 31, 2014",14047
86 FR 73601, 2021-28313,73613,https://www.federalregister.gov/documents/2021/12/28/2021-28313/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2021-12-28/pdf/2021-28313.pdf,Presidential Document,Executive Order,12/28/2021,2021-12-22,73601,Adjustments of Certain Rates of Pay,"Supersedes: EO 13970, December 31, 2020
Superseded by: EO 14090, December 23, 2022",14061
83 FR 9889, 2018-04860,10353,https://www.federalregister.gov/documents/2018/03/08/2018-04860/2018-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-2018-03-08/pdf/2018-04860.pdf,Presidential Document,Executive Order,03/08/2018,2018-03-01,9889,"2018 Amendments to the Manual for Courts-Martial, United States","See: EO 12473, April 13, 1984",13825
82 FR 60835, 2017-27899,60837,https://www.federalregister.gov/documents/2017/12/26/2017-27899/a-federal-strategy-to-ensure-secure-and-reliable-supplies-of-critical-minerals,https://www.govinfo.gov/content/pkg/FR-2017-12-26/pdf/2017-27899.pdf,Presidential Document,Executive Order,12/26/2017,2017-12-20,60835,A Federal Strategy To Ensure Secure and Reliable Supplies of Critical Minerals,"See: EO 13771, January 30, 2017; EO 13783, March 28, 2017; EO 13807, August 15, 2017; EO 12866, September 30, 1993",13817
83 FR 4831, 2018-02261,4832,https://www.federalregister.gov/documents/2018/02/02/2018-02261/protecting-america-through-lawful-detention-of-terrorists,https://www.govinfo.gov/content/pkg/FR-2018-02-02/pdf/2018-02261.pdf,Presidential Document,Executive Order,02/02/2018,2018-01-30,4831,Protecting America Through Lawful Detention of Terrorists,"Revokes: EO 13492, January 22, 2009; See: EO 13567, March 7, 2011",13823
83 FR 1513, 2018-00630,1514,https://www.federalregister.gov/documents/2018/01/12/2018-00630/supporting-our-veterans-during-their-transition-from-uniformed-service-to-civilian-life,https://www.govinfo.gov/content/pkg/FR-2018-01-12/pdf/2018-00630.pdf,Presidential Document,Executive Order,01/12/2018,2018-01-09,1513,Supporting Our Veterans During Their Transition From Uniformed Service to Civilian Life,"",13822
86 FR 64335, 2021-25286,64336,https://www.federalregister.gov/documents/2021/11/18/2021-25286/implementation-of-the-infrastructure-investment-and-jobs-act,https://www.govinfo.gov/content/pkg/FR-2021-11-18/pdf/2021-25286.pdf,Presidential Document,Executive Order,11/18/2021,2021-11-15,64335,Implementation of the Infrastructure Investment and Jobs Act,"Amended by: EO 14082, September 12, 2022
See: EO 14096, April 21, 2023
Revoked by: EO 14148, January 20, 2025",14052
87 FR 43203, 2022-15628,43207,https://www.federalregister.gov/documents/2022/07/20/2022-15628/establishing-an-emergency-board-to-investigate-disputes-between-certain-railroads-represented-by-the,https://www.govinfo.gov/content/pkg/FR-2022-07-20/pdf/2022-15628.pdf,Presidential Document,Executive Order,07/20/2022,2022-07-15,43203,Establishing an Emergency Board To Investigate Disputes Between Certain Railroads Represented by the National Carriers' Conference Committee of the National Railway Labor Conference and Their Employees Represented by Certain Labor Organizations, ,14077
87 FR 49505, 2022-17420,49507,https://www.federalregister.gov/documents/2022/08/11/2022-17420/securing-access-to-reproductive-and-other-healthcare-services,https://www.govinfo.gov/content/pkg/FR-2022-08-11/pdf/2022-17420.pdf,Presidential Document,Executive Order,08/11/2022,2022-08-03,49505,Securing Access to Reproductive and Other Healthcare Services,"See: EO 14076, July 8, 2022; EO 14101; June 23, 2023
Revoked by: EO 14182, January 24, 2025",14079
86 FR 50443, 2021-19579,50447,https://www.federalregister.gov/documents/2021/09/09/2021-19579/white-house-initiative-on-advancing-educational-equity-excellence-and-economic-opportunity-through,https://www.govinfo.gov/content/pkg/FR-2021-09-09/pdf/2021-19579.pdf,Presidential Document,Executive Order,09/09/2021,2021-09-03,50443,"White House Initiative on Advancing Educational Equity, Excellence, and Economic Opportunity Through Historically Black Colleges and Universities","Supersedes: EO 13779, February 28, 2017
See: EO 14091, February 16, 2023
Revoked by: EO 14283, April 23, 2025",14041
80 FR 18077, 2015-07788,18079,https://www.federalregister.gov/documents/2015/04/02/2015-07788/blocking-the-property-of-certain-persons-engaging-in-significant-malicious-cyber-enabled-activities,https://www.govinfo.gov/content/pkg/FR-2015-04-02/pdf/2015-07788.pdf,Presidential Document,Executive Order,04/02/2015,2015-04-01,18077,Blocking the Property of Certain Persons Engaging in Significant Malicious Cyber-Enabled Activities,"See: Proc. 8693, July 24, 2011; EO 14117, February 28, 2024
Amended by: EO 13757, December 28, 2016; EO 14144, January 16, 2025; EO 14306, June 6, 2025",13694
80 FR 15871, 2015-07016,15884,https://www.federalregister.gov/documents/2015/03/25/2015-07016/planning-for-federal-sustainability-in-the-next-decade,https://www.govinfo.gov/content/pkg/FR-2015-03-25/pdf/2015-07016.pdf,Presidential Document,Executive Order,03/25/2015,2015-03-19,15871,Planning for Federal Sustainability in the Next Decade,"Amends: EO 13327, February 4, 2004; EO 13432, May 14, 2007; EO 13653, November 1, 2013; EO 13677, September 23, 2014
Revokes: EO 13423, January 24, 2007; EO 13514, October 5, 2009; Memorandum of May 24, 2011; Memorandum of December 2, 2011; Memorandum of February 21, 2012; Memorandum of December 5, 2013 
Revoked by: EO 13834, May 17, 2018",13693
76 FR 70863, 2011-29683,70864,https://www.federalregister.gov/documents/2011/11/15/2011-29683/promoting-efficient-spending,https://www.govinfo.gov/content/pkg/FR-2011-11-15/pdf/2011-29683.pdf,Presidential Document,Executive Order,11/15/2011,2011-11-09,70863,Promoting Efficient Spending,"See: EO 13576, June 13, 2011; Memorandum of May 24, 2011",13589
